RefSeq mRNA ID	NCBI gene ID	Gene name
NM_001405	1943	EFNA2
NM_004952	1944	EFNA3
NM_005227	1945	EFNA4
NM_182689	1945	EFNA4
NM_182690	1945	EFNA4
NM_001962	1946	EFNA5
NM_004429	1947	EFNB1
NM_004093	1948	EFNB2
NM_001406	1949	EFNB3
NM_001178131	1950	EGF
NM_001963	1950	EGF
NM_001178130	1950	EGF
NM_001407	1951	CELSR3
NM_001408	1952	CELSR2
NM_001409	1953	MEGF6
NM_001271938	1954	MEGF8
NM_001410	1954	MEGF8
NM_001080497	1955	MEGF9
NM_001346897	1956	EGFR
NM_201282	1956	EGFR
NM_201284	1956	EGFR
NM_201283	1956	EGFR
NM_005228	1956	EGFR
NM_001964	1958	EGR1
NM_000399	1959	EGR2
NM_001136177	1959	EGR2
NM_001136179	1959	EGR2
NM_001321037	1959	EGR2
NM_001136178	1959	EGR2
NM_004430	1960	EGR3
NM_001199880	1960	EGR3
NM_001199881	1960	EGR3
NM_001965	1961	EGR4
NM_001166415	1962	EHHADH
NM_001966	1962	EHHADH
NM_001412	1964	EIF1AX
NM_004094	1965	EIF2S1
NM_001414	1967	EIF2B1
NM_001415	1968	EIF2S3
NM_001329090	1969	EPHA2
NM_004431	1969	EPHA2
NM_001416	1973	EIF4A1
NM_001204510	1973	EIF4A1
NM_001967	1974	EIF4A2
NM_001300821	1975	EIF4B
NM_001417	1975	EIF4B
NM_001968	1977	EIF4E
NM_001130678	1977	EIF4E
NM_001331017	1977	EIF4E
NM_001130679	1977	EIF4E
NM_004095	1978	EIF4EBP1
NM_004096	1979	EIF4EBP2
NM_198241	1981	EIF4G1
NM_001291157	1981	EIF4G1
NM_198244	1981	EIF4G1
NM_001194946	1981	EIF4G1
NM_198242	1981	EIF4G1
NM_182917	1981	EIF4G1
NM_004953	1981	EIF4G1
NM_001194947	1981	EIF4G1
NM_001172705	1982	EIF4G2
NM_001418	1982	EIF4G2
NM_001042559	1982	EIF4G2
NM_001969	1983	EIF5
NM_183004	1983	EIF5
NM_001143760	1984	EIF5A
NM_001970	1984	EIF5A
NM_001143761	1984	EIF5A
NM_001143762	1984	EIF5A
NM_001971	1990	CELA1
NM_001972	1991	ELANE
NM_001972	1991	ELANE
NM_030666	1992	SERPINB1
NM_001351458	1993	ELAVL2
NM_001351459	1993	ELAVL2
NM_001351469	1993	ELAVL2
NM_001351471	1993	ELAVL2
NM_001351465	1993	ELAVL2
NM_001351478	1993	ELAVL2
NM_001171197	1993	ELAVL2
NM_001171195	1993	ELAVL2
NM_001351467	1993	ELAVL2
NM_001351468	1993	ELAVL2
NM_001351472	1993	ELAVL2
NM_004432	1993	ELAVL2
NM_001351470	1993	ELAVL2
NM_001351473	1993	ELAVL2
NM_001351474	1993	ELAVL2
NM_001351475	1993	ELAVL2
NM_001351476	1993	ELAVL2
NM_001419	1994	ELAVL1
NM_032281	1995	ELAVL3
NM_001420	1995	ELAVL3
NM_001144776	1996	ELAVL4
NM_001144775	1996	ELAVL4
NM_001324209	1996	ELAVL4
NM_021952	1996	ELAVL4
NM_001324212	1996	ELAVL4
NM_001144774	1996	ELAVL4
NM_001324215	1996	ELAVL4
NM_001324213	1996	ELAVL4
NM_001324214	1996	ELAVL4
NM_001294348	1996	ELAVL4
NM_001324216	1996	ELAVL4
NM_001324217	1996	ELAVL4
NM_001324208	1996	ELAVL4
NM_001144777	1996	ELAVL4
NM_172373	1997	ELF1
NM_001145353	1997	ELF1
NM_001276457	1998	ELF2
NM_001276459	1998	ELF2
NM_001331036	1998	ELF2
NM_201999	1998	ELF2
NM_001276458	1998	ELF2
NM_006874	1998	ELF2
NM_001114309	1999	ELF3
NM_004433	1999	ELF3
NM_001127197	2000	ELF4
NM_001421	2000	ELF4
NM_001422	2001	ELF5
NM_198381	2001	ELF5
NM_001243080	2001	ELF5
NM_001243081	2001	ELF5
NM_005229	2002	ELK1
NM_001114123	2002	ELK1
NM_001257168	2002	ELK1
NM_005230	2004	ELK3
NM_001303511	2004	ELK3
NM_001973	2005	ELK4
NM_021795	2005	ELK4
NM_001278912	2006	ELN
NM_000501	2006	ELN
NM_001081755	2006	ELN
NM_001278913	2006	ELN
NM_001278914	2006	ELN
NM_001081752	2006	ELN
NM_001278916	2006	ELN
NM_001278917	2006	ELN
NM_001081754	2006	ELN
NM_001081753	2006	ELN
NM_001278918	2006	ELN
NM_001278915	2006	ELN
NM_001278939	2006	ELN
NM_004434	2009	EML1
NM_001008707	2009	EML1
NM_000117	2010	EMD
NM_004954	2011	MARK2
NM_001163296	2011	MARK2
NM_001163297	2011	MARK2
NM_017490	2011	MARK2
NM_001039469	2011	MARK2
NM_001423	2012	EMP1
NM_001424	2013	EMP2
NM_001425	2014	EMP3
NM_001313905	2014	EMP3
NM_001256253	2015	ADGRE1
NM_001256254	2015	ADGRE1
NM_001974	2015	ADGRE1
NM_001256255	2015	ADGRE1
NM_001256252	2015	ADGRE1
NM_004097	2016	EMX1
NM_138565	2017	CTTN
NM_005231	2017	CTTN
NM_001184740	2017	CTTN
NM_004098	2018	EMX2
NM_001165924	2018	EMX2
NM_001426	2019	EN1
NM_001427	2020	EN2
NM_004435	2021	ENDOG
NM_000118	2022	ENG
NM_001114753	2022	ENG
NM_001278138	2022	ENG
NM_001201483	2023	ENO1
NM_001428	2023	ENO1
NM_001975	2026	ENO2
NM_053013	2027	ENO3
NM_001976	2027	ENO3
NM_001193503	2027	ENO3
NM_001977	2028	ENPEP
NM_004436	2029	ENSA
NM_207046	2029	ENSA
NM_207045	2029	ENSA
NM_207042	2029	ENSA
NM_207044	2029	ENSA
NM_207047	2029	ENSA
NM_207043	2029	ENSA
NM_207168	2029	ENSA
NM_001304463	2030	SLC29A1
NM_001078175	2030	SLC29A1
NM_001078177	2030	SLC29A1
NM_001304462	2030	SLC29A1
NM_001304465	2030	SLC29A1
NM_001304466	2030	SLC29A1
NM_001429	2033	EP300
NM_001430	2034	EPAS1
NM_004437	2035	EPB41
NM_203342	2035	EPB41
NM_203343	2035	EPB41
NM_001166006	2035	EPB41
NM_001166005	2035	EPB41
NM_001166007	2035	EPB41
NM_001258331	2036	EPB41L1
NM_001258330	2036	EPB41L1
NM_012156	2036	EPB41L1
NM_177996	2036	EPB41L1
NM_001258329	2036	EPB41L1
NM_001252660	2037	EPB41L2
NM_001350310	2037	EPB41L2
NM_001350309	2037	EPB41L2
NM_001350308	2037	EPB41L2
NM_001350311	2037	EPB41L2
