RefSeq mRNA ID	NCBI gene ID	Gene name
NM_130786	1	A1BG
NM_001347423	2	A2M
NM_000014	2	A2M
NM_001160179	9	NAT1
NM_000662	9	NAT1
NM_001160176	9	NAT1
NM_001160171	9	NAT1
NM_001160174	9	NAT1
NM_001160173	9	NAT1
NM_001160170	9	NAT1
NM_001160172	9	NAT1
NM_001160175	9	NAT1
NM_001291962	9	NAT1
NM_000015	10	NAT2
NM_001085	12	SERPINA3
NM_001086	13	AADAC
NM_001087	14	AAMP
NM_001302545	14	AAMP
NM_001166579	15	AANAT
NM_001088	15	AANAT
NM_001605	16	AARS
NM_020686	18	ABAT
NM_001127448	18	ABAT
NM_000663	18	ABAT
NM_005502	19	ABCA1
NM_001606	20	ABCA2
NM_212533	20	ABCA2
NM_001089	21	ABCA3
NM_004299	22	ABCB7
NM_001271696	22	ABCB7
NM_001271698	22	ABCB7
NM_001271699	22	ABCB7
NM_001271697	22	ABCB7
NM_001025091	23	ABCF1
NM_001090	23	ABCF1
NM_001090	23	ABCF1
NM_001025091	23	ABCF1
NM_001025091	23	ABCF1
NM_001090	23	ABCF1
NM_001090	23	ABCF1
NM_001025091	23	ABCF1
NM_001025091	23	ABCF1
NM_001090	23	ABCF1
NM_001090	23	ABCF1
NM_001025091	23	ABCF1
NM_001090	23	ABCF1
NM_001025091	23	ABCF1
NM_000350	24	ABCA4
NM_007313	25	ABL1
NM_005157	25	ABL1
NM_001091	26	AOC1
NM_001272072	26	AOC1
NM_001168238	27	ABL2
NM_001168237	27	ABL2
NM_001168236	27	ABL2
NM_007314	27	ABL2
NM_001136000	27	ABL2
NM_005158	27	ABL2
NM_001168239	27	ABL2
NM_001136001	27	ABL2
NM_020469	28	ABO
NM_020469	28	ABO
NM_001159746	29	ABR
NM_001322840	29	ABR
NM_021962	29	ABR
NM_001322841	29	ABR
NM_001282149	29	ABR
NM_001092	29	ABR
NM_001256847	29	ABR
NM_021962	29	ABR
NM_001159746	29	ABR
NM_001322840	29	ABR
NM_001322841	29	ABR
NM_001092	29	ABR
NM_001256847	29	ABR
NM_001282149	29	ABR
NM_021962	29	ABR
NM_001159746	29	ABR
NM_001322840	29	ABR
NM_001282149	29	ABR
NM_001322841	29	ABR
NM_001092	29	ABR
NM_001256847	29	ABR
NM_001607	30	ACAA1
NM_001130410	30	ACAA1
NM_198834	31	ACACA
NM_198837	31	ACACA
NM_198839	31	ACACA
NM_198836	31	ACACA
NM_198838	31	ACACA
NM_198834	31	ACACA
NM_198837	31	ACACA
NM_198839	31	ACACA
NM_198836	31	ACACA
NM_198838	31	ACACA
NM_001093	32	ACACB
NM_001608	33	ACADL
NM_000016	34	ACADM
NM_001286043	34	ACADM
NM_001127328	34	ACADM
NM_001286044	34	ACADM
NM_001286042	34	ACADM
NM_000017	35	ACADS
NM_001302554	35	ACADS
NM_001330174	36	ACADSB
NM_001609	36	ACADSB
NM_001270447	37	ACADVL
NM_000018	37	ACADVL
NM_001270448	37	ACADVL
NM_001033859	37	ACADVL
NM_000019	38	ACAT1
NM_005891	39	ACAT2
NM_001303253	39	ACAT2
NM_183377	40	ASIC2
NM_001094	40	ASIC2
NM_020039	41	ASIC1
NM_001095	41	ASIC1
NM_001256830	41	ASIC1
NM_001282449	43	ACHE
NM_000665	43	ACHE
NM_001302622	43	ACHE
NM_001302621	43	ACHE
NM_015831	43	ACHE
NM_001303274	47	ACLY
NM_001096	47	ACLY
NM_001303275	47	ACLY
NM_198830	47	ACLY
NM_002197	48	ACO1
NM_001278352	48	ACO1
NM_001097	49	ACR
NM_001097	49	ACR
NM_001098	50	ACO2
NM_001185039	51	ACOX1
NM_004035	51	ACOX1
NM_007292	51	ACOX1
NM_007099	52	ACP1
NM_004300	52	ACP1
NM_001040649	52	ACP1
NM_001610	53	ACP2
NM_001302491	53	ACP2
NM_001302490	53	ACP2
NM_001302492	53	ACP2
NM_001302489	53	ACP2
NM_001111035	54	ACP5
NM_001111036	54	ACP5
NM_001111034	54	ACP5
NM_001322023	54	ACP5
NM_001611	54	ACP5
NM_001099	55	ACPP
NM_001292037	55	ACPP
NM_001134194	55	ACPP
NM_020069	56	ACRV1
NM_001612	56	ACRV1
NM_020107	56	ACRV1
NM_020108	56	ACRV1
NM_001100	58	ACTA1
NM_001320855	59	ACTA2
NM_001613	59	ACTA2
NM_001141945	59	ACTA2
NM_001101	60	ACTB
NM_005159	70	ACTC1
NM_001614	71	ACTG1
NM_001199954	71	ACTG1
NM_001199893	72	ACTG2
NM_001615	72	ACTG2
NM_004924	81	ACTN4
NM_001322033	81	ACTN4
NM_004924	81	ACTN4
NM_001322033	81	ACTN4
NM_004301	86	ACTL6A
NM_177989	86	ACTL6A
NM_178042	86	ACTL6A
NM_001102	87	ACTN1
NM_001130004	87	ACTN1
NM_001130005	87	ACTN1
NM_001103	88	ACTN2
NM_001278344	88	ACTN2
NM_001278343	88	ACTN2
NM_001258371	89	ACTN3
NM_001104	89	ACTN3
NM_001347663	90	ACVR1
NM_001347666	90	ACVR1
NM_001347665	90	ACVR1
NM_001105	90	ACVR1
NM_001347667	90	ACVR1
NM_001347664	90	ACVR1
NM_001111067	90	ACVR1
NM_020328	91	ACVR1B
NM_004302	91	ACVR1B
NM_020327	91	ACVR1B
NM_001278579	92	ACVR2A
NM_001616	92	ACVR2A
NM_001278580	92	ACVR2A
NM_001106	93	ACVR2B
NM_001077401	94	ACVRL1
NM_000020	94	ACVRL1
NM_000666	95	ACY1
NM_001198895	95	ACY1
NM_001198897	95	ACY1
NM_001198898	95	ACY1
NM_001198896	95	ACY1
NM_001302616	97	ACYP1
NM_001107	97	ACYP1
NM_001302617	97	ACYP1
NM_001320587	98	ACYP2
NM_001320586	98	ACYP2
NM_001320590	98	ACYP2
NM_001320589	98	ACYP2
NM_138448	98	ACYP2
NM_001320588	98	ACYP2
NM_000022	100	ADA
NM_001322050	100	ADA
NM_001322051	100	ADA
NM_001109	101	ADAM8
NM_001164489	101	ADAM8
NM_001164490	101	ADAM8
NM_001110	102	ADAM10
NM_001320570	102	ADAM10
NM_001111	103	ADAR
NM_015840	103	ADAR
NM_001193495	103	ADAR
NM_015841	103	ADAR
NM_001025107	103	ADAR
NM_001160230	104	ADARB1
NM_015834	104	ADARB1
NM_001112	104	ADARB1
NM_015833	104	ADARB1
NM_018702	105	ADARB2
NM_001281768	107	ADCY1
NM_021116	107	ADCY1
NM_020546	108	ADCY2
NM_004036	109	ADCY3
NM_001320613	109	ADCY3
NM_183357	111	ADCY5
NM_001199642	111	ADCY5
NM_015270	112	ADCY6
NM_001114	113	ADCY7
NM_001286057	113	ADCY7
NM_001115	114	ADCY8
NM_001116	115	ADCY9
NM_001099733	116	ADCYAP1
NM_001117	116	ADCYAP1
NM_001118	117	ADCYAP1R1
NM_001199637	117	ADCYAP1R1
NM_001199636	117	ADCYAP1R1
NM_001199635	117	ADCYAP1R1
NM_014190	118	ADD1
NM_001286645	118	ADD1
NM_001119	118	ADD1
NM_176801	118	ADD1
NM_014189	118	ADD1
NM_001617	119	ADD2
NM_001185054	119	ADD2
NM_017488	119	ADD2
NM_017482	119	ADD2
NM_001185055	119	ADD2
NM_001320591	120	ADD3
NM_019903	120	ADD3
NM_001320593	120	ADD3
NM_001320592	120	ADD3
NM_001320594	120	ADD3
NM_016824	120	ADD3
NM_001121	120	ADD3
NM_001122	123	PLIN2
NM_000667	124	ADH1A
NM_000668	125	ADH1B
NM_001286650	125	ADH1B
NM_000669	126	ADH1C
NM_001306171	127	ADH4
NM_001306172	127	ADH4
NM_000670	127	ADH4
NM_000671	128	ADH5
NM_001102470	130	ADH6
NM_000672	130	ADH6
NM_001166504	131	ADH7
NM_000673	131	ADH7
NM_006721	132	ADK
NM_001123	132	ADK
NM_001202450	132	ADK
NM_001202449	132	ADK
NM_001124	133	ADM
NM_001048230	134	ADORA1
NM_000674	134	ADORA1
NM_000675	135	ADORA2A
NM_001278499	135	ADORA2A
NM_001278497	135	ADORA2A
NM_001278498	135	ADORA2A
NM_001278500	135	ADORA2A
NM_000676	136	ADORA2B
NM_001302678	140	ADORA3
NM_000677	140	ADORA3
NM_001302679	140	ADORA3
NM_001291949	141	ADPRH
NM_001291950	141	ADPRH
NM_001125	141	ADPRH
NM_001618	142	PARP1
NM_006437	143	PARP4
NM_000678	146	ADRA1D
NM_000679	147	ADRA1B
NM_033303	148	ADRA1A
NM_001322503	148	ADRA1A
NM_033302	148	ADRA1A
NM_033304	148	ADRA1A
NM_000680	148	ADRA1A
NM_001322504	148	ADRA1A
NM_000681	150	ADRA2A
NM_000682	151	ADRA2B
NM_000683	152	ADRA2C
NM_000684	153	ADRB1
NM_000024	154	ADRB2
NM_000025	155	ADRB3
NM_001619	156	GRK2
NM_005160	157	GRK3
NM_001317923	158	ADSL
NM_000026	158	ADSL
NM_001123378	158	ADSL
NM_001126	159	ADSS
NM_130787	160	AP2A1
NM_014203	160	AP2A1
NM_001242837	161	AP2A2
NM_012305	161	AP2A2
NM_012305	161	AP2A2
NM_001242837	161	AP2A2
NM_001242837	161	AP2A2
NM_012305	161	AP2A2
NM_001166019	162	AP1B1
NM_145730	162	AP1B1
NM_001127	162	AP1B1
NM_001030006	163	AP2B1
NM_001282	163	AP2B1
NM_001128	164	AP1G1
NM_001030007	164	AP1G1
NM_001129	165	AEBP1
NM_198969	166	AES
NM_198970	166	AES
NM_001130	166	AES
NM_170609	167	CRISP1
NM_001131	167	CRISP1
NM_001205220	167	CRISP1
NM_001133	173	AFM
NM_001134	174	AFP
NM_000027	175	AGA
NM_001171988	175	AGA
NM_001135	176	ACAN
NM_013227	176	ACAN
NM_172197	177	AGER
NM_001206932	177	AGER
NM_001136	177	AGER
NM_001206954	177	AGER
NM_001206934	177	AGER
NM_001206940	177	AGER
NM_001206936	177	AGER
NM_001206966	177	AGER
NM_001206929	177	AGER
NM_172197	177	AGER
NM_001206954	177	AGER
NM_001206940	177	AGER
NM_001206936	177	AGER
NM_001206966	177	AGER
NM_001206932	177	AGER
NM_001136	177	AGER
NM_001206929	177	AGER
NM_001206934	177	AGER
NM_172197	177	AGER
NM_001206954	177	AGER
NM_001206940	177	AGER
NM_001206936	177	AGER
NM_001206966	177	AGER
NM_001206932	177	AGER
NM_001136	177	AGER
NM_001206934	177	AGER
NM_001206929	177	AGER
NM_172197	177	AGER
NM_001206932	177	AGER
NM_001136	177	AGER
NM_001206929	177	AGER
NM_001206954	177	AGER
NM_001206934	177	AGER
NM_001206940	177	AGER
NM_001206936	177	AGER
NM_001206966	177	AGER
NM_172197	177	AGER
NM_001206954	177	AGER
NM_001206940	177	AGER
NM_001206936	177	AGER
NM_001206966	177	AGER
NM_001206932	177	AGER
NM_001136	177	AGER
NM_001206929	177	AGER
NM_001206934	177	AGER
NM_172197	177	AGER
NM_001206932	177	AGER
NM_001136	177	AGER
NM_001206954	177	AGER
NM_001206934	177	AGER
NM_001206940	177	AGER
NM_001206936	177	AGER
NM_001206966	177	AGER
NM_001206929	177	AGER
NM_172197	177	AGER
NM_001206932	177	AGER
NM_001136	177	AGER
NM_001206929	177	AGER
NM_001206954	177	AGER
NM_001206934	177	AGER
NM_001206940	177	AGER
NM_001206936	177	AGER
NM_001206966	177	AGER
NM_000642	178	AGL
NM_000644	178	AGL
NM_000643	178	AGL
NM_000028	178	AGL
NM_000646	178	AGL
NM_000645	178	AGL
NM_001138	181	AGRP
NM_000214	182	JAG1
NM_000029	183	AGT
NM_009585	185	AGTR1
NM_000685	185	AGTR1
NM_031850	185	AGTR1
NM_004835	185	AGTR1
NM_032049	185	AGTR1
NM_000686	186	AGTR2
NM_005161	187	APLNR
NM_000030	189	AGXT
NM_000475	190	NR0B1
NM_000687	191	AHCY
NM_001322085	191	AHCY
NM_001322086	191	AHCY
NM_001322084	191	AHCY
NM_001161766	191	AHCY
NM_001621	196	AHR
NM_001622	197	AHSG
NM_001623	199	AIF1
NM_001318970	199	AIF1
NM_032955	199	AIF1
NM_001623	199	AIF1
NM_001318970	199	AIF1
NM_032955	199	AIF1
NM_001623	199	AIF1
NM_001318970	199	AIF1
NM_032955	199	AIF1
NM_001623	199	AIF1
NM_001318970	199	AIF1
NM_032955	199	AIF1
NM_001623	199	AIF1
NM_001318970	199	AIF1
NM_032955	199	AIF1
NM_001318970	199	AIF1
NM_001623	199	AIF1
NM_032955	199	AIF1
NM_004847	199	AIF1
NM_001624	202	CRYBG1
NM_000476	203	AK1
NM_001318121	203	AK1
NM_001318122	203	AK1
NM_001319139	204	AK2
NM_001199199	204	AK2
NM_013411	204	AK2
NM_001319142	204	AK2
NM_001319141	204	AK2
NM_001319143	204	AK2
NM_001625	204	AK2
NM_001319140	204	AK2
NM_001330616	205	AK4
NM_013410	205	AK4
NM_203464	205	AK4
NM_001005353	205	AK4
NM_001014431	207	AKT1
NM_001014432	207	AKT1
NM_005163	207	AKT1
NM_001243027	208	AKT2
NM_001626	208	AKT2
NM_001243028	208	AKT2
NM_001330511	208	AKT2
NM_001003945	210	ALAD
NM_000031	210	ALAD
NM_001317745	210	ALAD
NM_000688	211	ALAS1
NM_001304444	211	ALAS1
NM_199166	211	ALAS1
NM_001304443	211	ALAS1
NM_001037968	212	ALAS2
NM_000032	212	ALAS2
NM_001037967	212	ALAS2
NM_000477	213	ALB
NM_001243281	214	ALCAM
NM_001627	214	ALCAM
NM_001243283	214	ALCAM
NM_001243280	214	ALCAM
NM_000033	215	ABCD1
NM_000689	216	ALDH1A1
NM_001204889	217	ALDH2
NM_000690	217	ALDH2
NM_001330150	218	ALDH3A1
NM_000691	218	ALDH3A1
NM_001135168	218	ALDH3A1
NM_001135167	218	ALDH3A1
NM_000692	219	ALDH1B1
NM_000693	220	ALDH1A3
NM_001293815	220	ALDH1A3
NM_001161473	221	ALDH3B1
NM_000694	221	ALDH3B1
NM_001030010	221	ALDH3B1
NM_001290058	221	ALDH3B1
NM_001290059	221	ALDH3B1
NM_001031615	222	ALDH3B2
NM_000695	222	ALDH3B2
NM_000696	223	ALDH9A1
NM_001031806	224	ALDH3A2
NM_000382	224	ALDH3A2
NM_005164	225	ABCD2
NM_000034	226	ALDOA
NM_184043	226	ALDOA
NM_001127617	226	ALDOA
NM_001243177	226	ALDOA
NM_184041	226	ALDOA
NM_000035	229	ALDOB
NM_005165	230	ALDOC
NM_001628	231	AKR1B1
NM_004304	238	ALK
NM_000697	239	ALOX12
NM_001320861	240	ALOX5
NM_001320862	240	ALOX5
NM_001256153	240	ALOX5
NM_000698	240	ALOX5
NM_001256154	240	ALOX5
NM_001320861	240	ALOX5
NM_001320862	240	ALOX5
NM_001256153	240	ALOX5
NM_000698	240	ALOX5
NM_001256154	240	ALOX5
NM_001629	241	ALOX5AP
NM_001204406	241	ALOX5AP
NM_001139	242	ALOX12B
NM_001140	246	ALOX15
NM_001141	247	ALOX15B
NM_001039130	247	ALOX15B
NM_001039131	247	ALOX15B
NM_001631	248	ALPI
NM_000478	249	ALPL
NM_001177520	249	ALPL
NM_001127501	249	ALPL
NM_001632	250	ALPP
NM_031313	251	ALPPL2
NM_006492	257	ALX3
NM_016519	258	AMBN
NM_001633	259	AMBP
NM_001287215	262	AMD1
NM_001634	262	AMD1
NM_001287214	262	AMD1
NM_001287216	262	AMD1
NM_001142	265	AMELX
NM_182680	265	AMELX
NM_182681	265	AMELX
NM_001143	266	AMELY
NM_001323512	267	AMFR
NM_001144	267	AMFR
NM_001323511	267	AMFR
NM_000479	268	AMH
NM_020547	269	AMHR2
NM_001164690	269	AMHR2
NM_001164691	269	AMHR2
NM_000036	270	AMPD1
NM_001172626	270	AMPD1
NM_139156	271	AMPD2
NM_001257360	271	AMPD2
NM_004037	271	AMPD2
NM_001308170	271	AMPD2
NM_001257361	271	AMPD2
NM_203404	271	AMPD2
NM_000480	272	AMPD3
NM_001025389	272	AMPD3
NM_001025390	272	AMPD3
NM_001172430	272	AMPD3
NM_001172431	272	AMPD3
NM_139316	273	AMPH
NM_001635	273	AMPH
NM_001320632	274	BIN1
NM_139344	274	BIN1
NM_139348	274	BIN1
NM_001320640	274	BIN1
NM_001320634	274	BIN1
NM_139351	274	BIN1
NM_139346	274	BIN1
NM_139347	274	BIN1
NM_139349	274	BIN1
NM_001320633	274	BIN1
NM_139345	274	BIN1
NM_004305	274	BIN1
NM_001320642	274	BIN1
NM_139343	274	BIN1
NM_001320641	274	BIN1
NM_139350	274	BIN1
NM_000481	275	AMT
NM_001164712	275	AMT
NM_001164710	275	AMT
NM_001164711	275	AMT
NM_001008221	276	AMY1A
NM_004038	276	AMY1A
NM_001346780	277	AMY1B
NM_001008218	277	AMY1B
NM_001346780	278	AMY1B
NM_001008218	278	AMY1B
NM_001008219	278	AMY1C
NM_000699	279	AMY2A
NM_020978	280	AMY2B
NM_001145	283	ANG
NM_001097577	283	ANG
NM_001146	284	ANGPT1
NM_001199859	284	ANGPT1
NM_001314051	284	ANGPT1
NM_001147	285	ANGPT2
NM_001118887	285	ANGPT2
NM_001118888	285	ANGPT2
NM_020476	286	ANK1
NM_020475	286	ANK1
NM_020477	286	ANK1
NM_000037	286	ANK1
NM_001142445	286	ANK1
NM_020478	286	ANK1
NM_001142446	286	ANK1
NM_020480	286	ANK1
NM_001127493	287	ANK2
NM_020977	287	ANK2
NM_001148	287	ANK2
NM_020987	288	ANK3
NM_001320874	288	ANK3
NM_001204403	288	ANK3
NM_001149	288	ANK3
NM_001204404	288	ANK3
NM_001150	290	ANPEP
NM_001151	291	SLC25A4
NM_001152	292	SLC25A5
NM_001636	293	SLC25A6
NM_000700	301	ANXA1
NM_001136015	302	ANXA2
NM_004039	302	ANXA2
NM_001002858	302	ANXA2
NM_001002857	302	ANXA2
NM_005139	306	ANXA3
NM_001320700	307	ANXA4
NM_001320698	307	ANXA4
NM_001153	307	ANXA4
NM_001320702	307	ANXA4
NM_001154	308	ANXA5
NM_001155	309	ANXA6
NM_001193544	309	ANXA6
NM_001320879	310	ANXA7
NM_001156	310	ANXA7
NM_001320880	310	ANXA7
NM_004034	310	ANXA7
NM_001157	311	ANXA11
NM_145869	311	ANXA11
NM_001278409	311	ANXA11
NM_145868	311	ANXA11
NM_001278408	311	ANXA11
NM_001278407	311	ANXA11
NM_001003954	312	ANXA13
NM_004306	312	ANXA13
NM_001637	313	AOAH
NM_001177506	313	AOAH
NM_001177507	313	AOAH
NM_009590	314	AOC2
NM_001158	314	AOC2
NM_001159	316	AOX1
NM_181861	317	APAF1
NM_001160	317	APAF1
NM_013229	317	APAF1
NM_181869	317	APAF1
NM_181868	317	APAF1
NM_001161	318	NUDT2
NM_147173	318	NUDT2
NM_147172	318	NUDT2
NM_001244390	318	NUDT2
NM_001638	319	APOF
NM_001163	320	APBA1
NM_001163	320	APBA1
NM_005503	321	APBA2
NM_001130414	321	APBA2
NM_001130414	321	APBA2
NM_005503	321	APBA2
NM_001257319	322	APBB1
NM_001257320	322	APBB1
NM_001164	322	APBB1
NM_145689	322	APBB1
NM_001257321	322	APBB1
NM_001257326	322	APBB1
NM_001257325	322	APBB1
NM_001257323	322	APBB1
NM_004307	323	APBB2
NM_001166050	323	APBB2
NM_001330656	323	APBB2
NM_001330658	323	APBB2
NM_173075	323	APBB2
NM_001166053	323	APBB2
NM_001166051	323	APBB2
NM_001166054	323	APBB2
NM_001166052	323	APBB2
NM_001127511	324	APC
NM_000038	324	APC
NM_001127510	324	APC
NM_001639	325	APCS
NM_000383	326	AIRE
NM_001640	327	APEH
NM_080649	328	APEX1
NM_080648	328	APEX1
NM_001641	328	APEX1
NM_001244249	328	APEX1
NM_001256166	329	BIRC2
NM_001166	329	BIRC2
NM_001256163	329	BIRC2
NM_182962	330	BIRC3
NM_001165	330	BIRC3
NM_001167	331	XIAP
NM_001204401	331	XIAP
NM_001012271	332	BIRC5
NM_001168	332	BIRC5
NM_001012270	332	BIRC5
NM_005166	333	APLP1
NM_001024807	333	APLP1
NM_001142277	334	APLP2
NM_001642	334	APLP2
NM_001142278	334	APLP2
NM_001142276	334	APLP2
NM_001243299	334	APLP2
NM_001318017	335	APOA1
NM_001318018	335	APOA1
NM_000039	335	APOA1
NM_001318021	335	APOA1
NM_001643	336	APOA2
NM_000482	337	APOA4
NM_000384	338	APOB
NM_005889	339	APOBEC1
NM_001304566	339	APOBEC1
NM_001644	339	APOBEC1
NM_001321066	341	APOC1
NM_001645	341	APOC1
NM_001321065	341	APOC1
NM_001169	343	AQP8
NM_000483	344	APOC2
NM_000040	345	APOC3
NM_001646	346	APOC4
NM_001647	347	APOD
NM_001302691	348	APOE
NM_001302688	348	APOE
NM_000041	348	APOE
NM_001302689	348	APOE
NM_001302690	348	APOE
NM_000042	350	APOH
NM_000484	351	APP
NM_001136129	351	APP
NM_201414	351	APP
NM_001204303	351	APP
NM_001204302	351	APP
NM_201413	351	APP
NM_001136016	351	APP
NM_001136130	351	APP
NM_001204301	351	APP
NM_001136131	351	APP
NM_000485	353	APRT
NM_001030018	353	APRT
NM_001030048	354	KLK3
NM_001648	354	KLK3
NM_001030047	354	KLK3
NM_000043	355	FAS
NM_001320619	355	FAS
NM_152872	355	FAS
NM_152871	355	FAS
NM_000639	356	FASLG
NM_001302746	356	FASLG
NM_001649	357	SHROOM2
NM_001320663	357	SHROOM2
NM_001320664	357	SHROOM2
NM_198098	358	AQP1
NM_001185062	358	AQP1
NM_001185061	358	AQP1
NM_001185060	358	AQP1
NM_000486	359	AQP2
NM_001318144	360	AQP3
NM_004925	360	AQP3
NM_001650	361	AQP4
NM_001317384	361	AQP4
NM_004028	361	AQP4
NM_001317387	361	AQP4
NM_001651	362	AQP5
NM_001652	363	AQP6
NM_001318156	364	AQP7
NM_001170	364	AQP7
NM_001318157	364	AQP7
NM_001318158	364	AQP7
NM_020980	366	AQP9
NM_001320635	366	AQP9
NM_001320636	366	AQP9
NM_000044	367	AR
NM_001348061	367	AR
NM_001011645	367	AR
NM_001348064	367	AR
NM_001171	368	ABCC6
NM_001079528	368	ABCC6
NM_001171	368	ABCC6
NM_001079528	368	ABCC6
NM_001256197	369	ARAF
NM_001654	369	ARAF
NM_001256196	369	ARAF
NM_001142281	372	ARCN1
NM_001655	372	ARCN1
NM_001656	373	TRIM23
NM_033227	373	TRIM23
NM_033228	373	TRIM23
NM_001657	374	AREG
NM_001658	375	ARF1
NM_001024226	375	ARF1
NM_001024227	375	ARF1
NM_001024228	375	ARF1
NM_001659	377	ARF3
NM_001660	378	ARF4
NM_001661	379	ARL4D
NM_001662	381	ARF5
NM_001663	382	ARF6
NM_000045	383	ARG1
NM_001244438	383	ARG1
NM_001172	384	ARG2
NM_001313944	387	RHOA
NM_001313945	387	RHOA
NM_001664	387	RHOA
NM_001313941	387	RHOA
NM_001313947	387	RHOA
NM_001313943	387	RHOA
NM_001313946	387	RHOA
NM_004040	388	RHOB
NM_175744	389	RHOC
NM_001042678	389	RHOC
NM_001042679	389	RHOC
NM_001254738	390	RND3
NM_005168	390	RND3
NM_001665	391	RHOG
NM_004308	392	ARHGAP1
NM_001164741	393	ARHGAP4
NM_001666	393	ARHGAP4
NM_001030055	394	ARHGAP5
NM_001173	394	ARHGAP5
NM_001287242	395	ARHGAP6
NM_013423	395	ARHGAP6
NM_013427	395	ARHGAP6
NM_006125	395	ARHGAP6
NM_001301243	396	ARHGDIA
NM_001185078	396	ARHGDIA
NM_004309	396	ARHGDIA
NM_001301242	396	ARHGDIA
NM_001301240	396	ARHGDIA
NM_001301241	396	ARHGDIA
NM_001185077	396	ARHGDIA
NM_001175	397	ARHGDIB
NM_001321421	397	ARHGDIB
NM_001321423	397	ARHGDIB
NM_001321420	397	ARHGDIB
NM_001321422	397	ARHGDIB
NM_001176	398	ARHGDIG
NM_001278368	399	RHOH
NM_001278364	399	RHOH
NM_001278366	399	RHOH
NM_001278365	399	RHOH
NM_001278367	399	RHOH
NM_001278369	399	RHOH
NM_001278360	399	RHOH
NM_001278361	399	RHOH
NM_001278362	399	RHOH
NM_001278359	399	RHOH
NM_001278363	399	RHOH
NM_004310	399	RHOH
NM_001301068	400	ARL1
NM_001177	400	ARL1
NM_005169	401	PHOX2A
NM_001667	402	ARL2
NM_001199745	402	ARL2
NM_004311	403	ARL3
NM_001350224	405	ARNT
NM_001350226	405	ARNT
NM_001350225	405	ARNT
NM_001286036	405	ARNT
NM_001668	405	ARNT
NM_001286035	405	ARNT
NM_001197325	405	ARNT
NM_178427	405	ARNT
NM_001351814	406	ARNTL
NM_001030272	406	ARNTL
NM_001178	406	ARNTL
NM_001351813	406	ARNTL
NM_001351816	406	ARNTL
NM_001297724	406	ARNTL
NM_001297719	406	ARNTL
NM_001297722	406	ARNTL
NM_001351822	406	ARNTL
NM_001030273	406	ARNTL
NM_004312	407	ARR3
NM_004041	408	ARRB1
NM_020251	408	ARRB1
NM_001257328	409	ARRB2
NM_001257330	409	ARRB2
NM_004313	409	ARRB2
NM_199004	409	ARRB2
NM_001257331	409	ARRB2
NM_001257329	409	ARRB2
NM_001085426	410	ARSA
NM_000487	410	ARSA
NM_001085425	410	ARSA
NM_001085428	410	ARSA
NM_001085427	410	ARSA
NM_000046	411	ARSB
NM_198709	411	ARSB
NM_001320750	412	STS
NM_001320752	412	STS
NM_001320751	412	STS
NM_000351	412	STS
NM_001320753	412	STS
NM_001320754	412	STS
NM_001669	414	ARSD
NM_009589	414	ARSD
NM_000047	415	ARSE
NM_001282628	415	ARSE
NM_001282631	415	ARSE
NM_001201538	416	ARSF
NM_001201539	416	ARSF
NM_004042	416	ARSF
NM_004314	417	ART1
NM_001130017	419	ART3
NM_001130016	419	ART3
NM_001179	419	ART3
NM_021071	420	ART4
NM_001670	421	ARVCF
NM_004315	427	ASAH1
NM_001127505	427	ASAH1
NM_177924	427	ASAH1
NM_004316	429	ASCL1
NM_005170	430	ASCL2
NM_001671	432	ASGR1
NM_001197216	432	ASGR1
NM_080912	433	ASGR2
NM_001181	433	ASGR2
NM_001201352	433	ASGR2
NM_080913	433	ASGR2
NM_080914	433	ASGR2
NM_001672	434	ASIP
NM_000048	435	ASL
NM_001024946	435	ASL
NM_001024943	435	ASL
NM_001024944	435	ASL
NM_004043	438	ASMT
NM_001171038	438	ASMT
NM_001171039	438	ASMT
NM_004317	439	ASNA1
NM_133436	440	ASNS
NM_001178077	440	ASNS
NM_001673	440	ASNS
NM_001178076	440	ASNS
NM_001178075	440	ASNS
NM_183356	440	ASNS
NM_001128085	443	ASPA
NM_000049	443	ASPA
NM_004318	444	ASPH
NM_001164750	444	ASPH
NM_032466	444	ASPH
NM_001164755	444	ASPH
NM_001164751	444	ASPH
NM_032468	444	ASPH
NM_001164752	444	ASPH
NM_001164753	444	ASPH
NM_020164	444	ASPH
NM_032467	444	ASPH
NM_001164756	444	ASPH
NM_001164754	444	ASPH
NM_054012	445	ASS1
NM_000050	445	ASS1
NM_001286164	460	ASTN1
NM_004319	460	ASTN1
NM_207108	460	ASTN1
NM_000488	462	SERPINC1
NM_006885	463	ZFHX3
NM_001164766	463	ZFHX3
NM_207385	463	ZFHX3
NM_005171	466	ATF1
NM_001674	467	ATF3
NM_001206486	467	ATF3
NM_001030287	467	ATF3
NM_001206484	467	ATF3
NM_001206488	467	ATF3
NM_001040619	467	ATF3
NM_001675	468	ATF4
NM_182810	468	ATF4
NM_004044	471	ATIC
NM_001351834	472	ATM
NM_001351836	472	ATM
NM_000051	472	ATM
NM_012102	473	RERE
NM_001042682	473	RERE
NM_001042681	473	RERE
NM_005172	474	ATOH1
NM_004045	475	ATOX1
NM_000701	476	ATP1A1
NM_001160234	476	ATP1A1
NM_001160233	476	ATP1A1
NM_000702	477	ATP1A2
NM_152296	478	ATP1A3
NM_001256214	478	ATP1A3
NM_001256213	478	ATP1A3
NM_001676	479	ATP12A
NM_001185085	479	ATP12A
NM_144699	480	ATP1A4
