ENST_ID	hgnc_symbol
ENST00000607632	PRDM16
ENST00000378391	PRDM16
ENST00000270722	PRDM16
ENST00000514189	PRDM16
ENST00000512462	PRDM16
ENST00000463591	PRDM16
ENST00000509860	PRDM16
ENST00000378389	PRDM16
ENST00000606170	PRDM16
ENST00000378378	ARHGEF16
ENST00000378373	ARHGEF16
ENST00000378371	ARHGEF16
ENST00000464620	ARHGEF16
ENST00000485984	ARHGEF16
ENST00000356575	MEGF6
ENST00000697102	MEGF6
ENST00000294599	MEGF6
ENST00000485002	MEGF6
ENST00000378344	TPRG1L
ENST00000344579	TPRG1L
ENST00000378322	WRAP73
ENST00000270708	WRAP73
ENST00000378295	TP73
ENST00000604074	TP73
ENST00000354437	TP73
ENST00000713570	TP73
ENST00000713571	TP73
ENST00000713572	TP73
ENST00000378280	TP73
ENST00000378285	TP73
ENST00000378288	TP73
ENST00000603364	TP73
ENST00000604194	TP73
ENST00000378290	TP73
ENST00000604566	TP73
ENST00000636250	CCDC27
ENST00000462521	CCDC27
ENST00000294600	CCDC27
ENST00000642557	SMIM1
ENST00000561886	SMIM1
ENST00000444870	SMIM1
ENST00000378251	LRRC47
ENST00000479239	LRRC47
ENST00000378230	CEP104
ENST00000674623	CEP104
ENST00000674985	CEP104
ENST00000675108	CEP104
ENST00000675200	CEP104
ENST00000675666	CEP104
ENST00000675677	CEP104
ENST00000675750	CEP104
ENST00000676009	CEP104
ENST00000676052	CEP104
ENST00000674558	CEP104
ENST00000674544	CEP104
ENST00000675375	CEP104
ENST00000428079	CEP104
ENST00000461667	CEP104
ENST00000494653	CEP104
ENST00000378223	CEP104
ENST00000338895	DFFB
ENST00000491998	DFFB
ENST00000468793	DFFB
ENST00000339350	DFFB
ENST00000477548	DFFB
ENST00000378209	DFFB
ENST00000378206	DFFB
ENST00000475969	DFFB
ENST00000481945	DFFB
ENST00000461150	DFFB
ENST00000361605	C1orf174
ENST00000680169	C1orf174
ENST00000679946	C1orf174
ENST00000681823	C1orf174
ENST00000680279	C1orf174
ENST00000680054	C1orf174
ENST00000679703	C1orf174
ENST00000680535	C1orf174
ENST00000378191	AJAP1
ENST00000378190	AJAP1
ENST00000466761	AJAP1
ENST00000378156	NPHP4
ENST00000489180	NPHP4
ENST00000378169	NPHP4
ENST00000466897	NPHP4
ENST00000378097	KCNAB2
ENST00000666163	KCNAB2
ENST00000671676	KCNAB2
ENST00000658691	KCNAB2
ENST00000655748	KCNAB2
ENST00000435937	KCNAB2
ENST00000493807	KCNAB2
ENST00000478098	KCNAB2
ENST00000653262	KCNAB2
ENST00000657222	KCNAB2
ENST00000654144	KCNAB2
ENST00000341524	KCNAB2
ENST00000462676	KCNAB2
ENST00000352527	KCNAB2
ENST00000663169	KCNAB2
ENST00000653635	KCNAB2
ENST00000661248	KCNAB2
ENST00000656198	KCNAB2
ENST00000602612	KCNAB2
ENST00000481789	KCNAB2
