raw_ids	SYMBOL	GENENAME
NM_001026495	haf-4	ABC-type antigen peptide transporter
NM_058339	Y65B4BL.3	Transmembrane protein
NM_058340	Y65B4BL.4	Dolichyl-phosphate-mannose--protein mannosyltransferase
NM_058341	deps-1	P-granule-associated protein deps-1
NM_001382874	Y65B4BL.7	Transmembrane protein
NM_058343	acs-13	Long-chain-fatty-acid--CoA ligase
NM_001129076	Y65B4BL.6	(Na+)-NQR maturation NqrM
NM_001382923	Y65B4BL.1	Uncharacterized protein
NM_001382933		
NM_058347	psf-3	DNA replication complex GINS protein PSF3
NM_058348	icd-2	Nascent polypeptide-associated complex subunit alpha
NM_171831	wwp-1	E3 ubiquitin-protein ligase wwp-1
NM_170794	wwp-1	E3 ubiquitin-protein ligase wwp-1
NM_058350	ptr-21	SSD domain-containing protein
NM_058353	grl-16	Ground-like domain-containing protein
NM_001306339	lpr-1	LiPocalin-Related protein;Lipocln_cytosolic_FA-bd_dom domain-containing protein
NM_058351	lpr-1	LiPocalin-Related protein;Lipocln_cytosolic_FA-bd_dom domain-containing protein
NM_001306341	lpr-1	LiPocalin-Related protein;Lipocln_cytosolic_FA-bd_dom domain-containing protein
NM_001306340	lpr-1	LiPocalin-Related protein;Lipocln_cytosolic_FA-bd_dom domain-containing protein
NM_001306338	lpr-1	LiPocalin-Related protein;Lipocln_cytosolic_FA-bd_dom domain-containing protein
NM_058352	Y65B4BR.1	Lipase_GDSL domain-containing protein
NM_001026626	ceh-9	Homeobox protein ceh-9
NM_182075	grl-16	Ground-like domain-containing protein
NM_001026333	F56A6.5	RING-type domain-containing protein
NM_001261951	hum-7	Unconventional myosin-IXa-like
NM_001261950	hum-7	Unconventional myosin-IXa-like
NM_058356	eme-1	Crossover junction endonuclease MUS81;ERCC4 domain-containing protein
NM_058357	sago-2	Piwi domain-containing protein
NM_182059		
NM_058358	Y65B4A.4	Uncharacterized protein
NM_001383092	eif-4A3	RNA helicase
NM_058361	vps-20	Charged multivesicular body protein 6
NM_001306316	Y65B4A.2	Peptidase C1A papain C-terminal domain-containing protein
NM_001306317	Y65B4A.2	Peptidase C1A papain C-terminal domain-containing protein
NM_058362	Y65B4A.2	Peptidase C1A papain C-terminal domain-containing protein
NM_058363	Y65B4A.7	LIM zinc-binding domain-containing protein
NM_001306320	Y65B4A.9	Protein kinase domain-containing protein
NM_001306321		
NM_001026562	Y18H1A.14	Glycosyltransferase family 92 protein
NM_001383163	Y18H1A.11	choline-phosphate cytidylyltransferase
NM_182093	Y18H1A.11	choline-phosphate cytidylyltransferase
NM_058367	hasp-2	non-specific serine/threonine protein kinase
NM_058368	ptp-5.3	Tyrosine-protein phosphatase domain-containing protein
NM_058369	Y18H1A.4	Histidine phosphatase family protein
NM_058370	Y18H1A.2	CBF1-interacting co-repressor CIR N-terminal domain-containing protein;Cir_N domain-containing protein
NM_001368447	Y18H1A.2	CBF1-interacting co-repressor CIR N-terminal domain-containing protein;Cir_N domain-containing protein
NM_001380470	hgap-1	Rap-GAP domain-containing protein
NM_058372	rec-1	Uncharacterized protein
NM_058373	pif-1	ATP-dependent DNA helicase;ATP-dependent DNA helicase PIF1
NM_001026563	Y18H1A.15	RGS domain-containing protein
NM_001306254	Y18H1A.18	Ovule protein
NM_001047236	col-46	COLlagen
NM_001306252	col-47	Collagen triple helix repeat protein
NM_058375	Y18H1A.9	ShKT domain-containing protein
NM_058376	Y18H1A.8	Apyrase;TransThyretin-Related family domain
NM_058377	mps-3	MiRP K channel accessory Subunit
NM_001026440	T06A4.3	Peptidase M14 carboxypeptidase A domain-containing protein;ShKT domain-containing protein
