raw_ids	SYMBOL	GENENAME
NM_001197083	SREBF1	sterol regulatory element binding transcription factor 1
NM_001242714	KCNJ12	potassium inwardly rectifying channel subfamily J member 12
NM_001025399	IL12RB2	interleukin 12 receptor subunit beta 2
NM_001287126	JAK1	Janus kinase 1
NM_001135788	NPHP4	nephrocystin 4
NM_001287118	CFDP1	craniofacial development protein 1
NM_001287130	CHST4	carbohydrate sulfotransferase 4
NM_001284474	WWP2	WW domain containing E3 ubiquitin protein ligase 2
NM_001252345	CMTM1	CKLF like MARVEL transmembrane domain containing 1
NM_001287129	THY1	Thy-1 cell surface antigen
NM_001287131	SLC37A4	solute carrier family 37 member 4
NM_001003379	CD3E	CD3 epsilon subunit of T-cell receptor complex
NM_001168459	SCN2B	sodium voltage-gated channel beta subunit 2
NM_001252336	FXYD6	FXYD domain containing ion transport regulator 6
NM_001252337	FXYD2	FXYD domain containing ion transport regulator 2
NM_001284472	BACE1	beta-secretase 1
NM_001003369	APOC3	apolipoprotein C3
NM_001048119	HTR3A	5-hydroxytryptamine receptor 3A
NM_001287138	MMP12	matrix metallopeptidase 12
NM_001242726	MMP7	matrix metallopeptidase 7
NM_001048023	BIRC2	baculoviral IAP repeat containing 2
NM_001080725	BIRC3	baculoviral IAP repeat containing 3
NM_001003097	TEKT1	tektin 1
NM_001003083	GP1BA	glycoprotein Ib platelet subunit alpha
NM_001205162	ZBTB4	zinc finger and BTB domain containing 4
NM_001205169	TNFSF13	TNF superfamily member 13
NM_001251942	EIF4A1	eukaryotic translation initiation factor 4A1
NM_001003207	GUCY2D	guanylate cyclase 2D, retinal
NM_001252400	RPL26	ribosomal protein L26
NM_001014281	RCVRN	recoverin
NM_001281930	TVP23B	trans-golgi network vesicle protein 23 homolog B
NM_001082420	ALDH3A1	aldehyde dehydrogenase 3 family member A1
NM_001127611	FLCN	folliculin
NM_001287132	LEPROT	leptin receptor overlapping transcript
NM_001287133	LEPROT	leptin receptor overlapping transcript
NM_001167659	FAM151A	family with sequence similarity 151 member A
NM_001007126	DIO1	iodothyronine deiodinase 1
NM_001197159	SLC1A7	solute carrier family 1 member 7
NM_001048137	B3GALT6	beta-1,3-galactosyltransferase 6
NM_001003236	GNB1	G protein subunit beta 1
NM_001003197	SCAMPER	sphingolipid Ca2+ release mediating protein of endoplasmic reticulum
NM_001002999	CA6	carbonic anhydrase 6
NM_001284482	SLC7A5	solute carrier family 7 member 5
NM_001197055	LOC479649	chymostrypsinogen B1-like
NM_001287127	NIP7	nucleolar pre-rRNA processing protein NIP7
NM_001287125	CDH1	cadherin 1
NM_001002940	PLA2G15	phospholipase A2 group XV
NM_001010952	SLC12A4	solute carrier family 12 member 4
NM_001190488	ADGRL2	adhesion G protein-coupled receptor L2
NM_001287141	CTF1	cardiotrophin 1
NM_001002971	ABCC1	ATP binding cassette subfamily C member 1
NM_001252172	NDE1	nudE neurodevelopment protein 1
NM_001048096	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase
NM_001003360	ABCA4	ATP binding cassette subfamily A member 4
NM_001204812	TNNI3K	TNNI3 interacting kinase
NM_001002958	PTGER3	prostaglandin E receptor 3
NM_001003191	GUSB	glucuronidase beta
NM_001003088	CLDN3	claudin 3
NM_001003295	HSPB1	heat shock protein family B (small) member 1
NM_001003224	ZP3	zona pellucida glycoprotein 3
NM_001197095	SERPINE1	serpin family E member 1
NM_001006646	EPO	erythropoietin
NM_001287145	AZGP1	alpha-2-glycoprotein 1, zinc-binding
NM_001003338	CYP3A26	cytochrome P450 3A26
NM_001003274	RAC1	Rac family small GTPase 1
NM_001195845	ACTB	actin beta
NM_001190172	PDGFA	platelet derived growth factor subunit A
NM_001007142	SLC5A2	solute carrier family 5 member 2
NM_001304281	TMEM265	transmembrane protein 265
NM_001114736	SEPHS2	selenophosphate synthetase 2
NM_001287146	MVP	major vault protein
NM_001252035	MAPK3	mitogen-activated protein kinase 3
NM_001003223	SULT1A1	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1
NM_001013417	CLN3	CLN3 lysosomal/endosomal transmembrane protein, battenin
NM_001145760	C6H16orf82	chromosome 6 C16orf82 homolog
NM_001313864	SCNN1B	sodium channel epithelial 1 subunit beta
NM_001003304	ZP2	zona pellucida glycoprotein 2
NM_001003003	UMOD	uromodulin
NM_001003371	GP2	glycoprotein 2
NM_001252147	RPS15A	ribosomal protein S15a
NM_001287148	PRM2	protamine 2
NM_001002946	DNASE1	deoxyribonuclease 1
NM_001193299	TNFRSF12A	TNF receptor superfamily member 12A
