raw_ids	SYMBOL	GENENAME
NM_001257873	CHRDL1	chordin like 1
NM_001265846	LHFPL1	LHFPL tetraspan subfamily member 1
NM_001266221	PLS3	plastin 3
NM_001195093	LOC100499562	MTRNR2-like
NM_001266328	WDR44	WD repeat domain 44
NM_001261787	ZCCHC12	zinc finger CCHC-type containing 12
NM_001194918	PGRMC1	progesterone receptor membrane component 1
NM_001267009	SLC25A5	solute carrier family 25 member 5
NM_001193685	UBE2A	ubiquitin conjugating enzyme E2 A
NM_001260893	NKRF	NFKB repressing factor
NM_001257447	SEPTIN6	septin 6
NM_001193702	SOWAHD	sosondowah ankyrin repeat domain family member D
NM_001266737	UPF3B	UPF3B regulator of nonsense mediated mRNA decay
NM_001198701	RNF113A	ring finger protein 113A
NM_001257292	NDUFA1	NADH:ubiquinone oxidoreductase subunit A1
NM_001193725	AKAP14	A-kinase anchoring protein 14
NM_001261085	NKAP	NFKB activating protein
NM_001266950	ZBTB33	zinc finger and BTB domain containing 33
NM_001193758	TMEM255A	transmembrane protein 255A
NM_001260808	LAMP2	lysosomal associated membrane protein 2
NM_001260840	C1GALT1C1	C1GALT1 specific chaperone 1
NM_001260621	THOC2	THO complex subunit 2
NM_001193853	DCAF12L2	DDB1 and CUL4 associated factor 12-like 2
NM_001265789	OCRL	OCRL inositol polyphosphate-5-phosphatase
NM_001261510	SASH3	SAM and SH3 domain containing 3
NM_001257878	AIFM1	apoptosis inducing factor mitochondria associated 1
NM_001257616	SLC25A14	solute carrier family 25 member 14
NM_001266848	RBMX2	RNA binding motif protein X-linked 2
NM_001261722	STK26	serine/threonine kinase 26
NM_001194044	RAP2C	RAP2C, member of RAS oncogene family
NM_001265741	GPC4	glypican 4
NM_001194097	CCDC160	coiled-coil domain containing 160
NM_001194091	PLAC1	placenta enriched 1
NM_001261620	MOSPD1	motile sperm domain containing 1
NM_001194127	FAM127A	family with sequence similarity 127, member A
NM_001194136	FAM127C	family with sequence similarity 127, member C
NM_001265682	INTS6L	integrator complex subunit 6 like
NM_001032902	BRS3	bombesin receptor subtype 3
NM_001032839	CD40LG	CD40 ligand
NM_001266573	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor 6
NM_001265843	FGF13	fibroblast growth factor 13
NM_001109683	F9	coagulation factor IX
NM_001193752	SOX3	SRY-box transcription factor 3
NM_001260647	LDOC1	LDOC1 regulator of NFKB signaling
NM_001265825	MAGEC2	melanoma antigen family C, 2
NM_001032954	SPANXN	sperm protein associated with the nucleus
NM_001261220	SLITRK2	SLIT and NTRK like family member 2
NM_001193879	EOLA2	endothelium and lymphocyte associated ASCH domain 2
NM_001257432	TMEM185A	transmembrane protein 185A
NM_001257432	TMEM185A	transmembrane protein 185A
NM_001261718	MTM1	myotubularin 1
NM_001261370	CD99L2	CD99 molecule like 2
NM_001261152	FATE1	fetal and adult testis expressed 1
NM_001265924	MAGEA4	MAGE family member A4
NM_001195814	CETN2	centrin 2
NM_001265710	NSDHL	NAD(P) dependent steroid dehydrogenase-like
NM_001266536	PNMA5	PNMA family member 5
NM_001261481	PNMA3	PNMA family member 3
NM_001261208	CCNQ	cyclin Q
NM_001265730	DUSP9	dual specificity phosphatase 9
NM_001266276	SLC6A8	solute carrier family 6 member 8
NM_001261779	L1CAM	L1 cell adhesion molecule
NM_001257542	MECP2	methyl-CpG binding protein 2
NM_001265797	TKTL1	transketolase like 1
NM_001193559	RPL10	ribosomal protein L10
NM_001032914	TAFAZZIN	tafazzin, phospholipid-lysophospholipid transacylase
NM_001266701	UBL4A	ubiquitin like 4A
NM_001266741	FAM3A	FAM3 metabolism regulating signaling molecule A
NM_001266470	G6PD	glucose-6-phosphate dehydrogenase
NM_001260994	DKC1	dyskerin pseudouridine synthase 1
NM_001261546	MPP1	MAGUK p55 scaffold protein 1
NM_001260781	CMC4	C-X9-C motif containing 4
NM_001194094	MTCP1	mature T cell proliferation 1
NM_001261511	RAB39B	RAB39B, member RAS oncogene family
NM_001266882	CLIC2	chloride intracellular channel 2
NM_001261784	VAMP7	vesicle associated membrane protein 7
NM_001145058	NLGN4Y	neuroligin 4, Y-linked
NM_001265745	RPS4Y1	ribosomal protein S4 Y-linked 1
NM_001145069	ZFY	zinc finger protein Y-linked
NM_001145068	TBL1Y	transducin beta like 1 Y-linked
NM_001258335	DDX3Y	DEAD-box helicase 3 Y-linked
NM_001145041	CYorf15A	chromosome Y open reading frame 15A
NM_001145535	CYHYorf15B	chromosome Y open reading frame, human CYorf15B
NM_001257367	KDM5D	lysine demethylase 5D
NM_001145052	EIF1AY	eukaryotic translation initiation factor 1A, Y-linked
NM_001145039	CDY	chromodomain protein, Y-linked
NM_001260905	LARGE1	LARGE xylosyl- and glucuronyltransferase 1
NM_001261077	CCDC134	coiled-coil domain containing 134
NM_001193428	PKIG	cAMP-dependent protein kinase inhibitor gamma
NM_001261665	CTNNBL1	catenin beta like 1
NM_001261194	SLC23A2	solute carrier family 23 member 2
NM_001260550	TMX4	thioredoxin related transmembrane protein 4
NM_001193937	CFAP61	cilia and flagella associated protein 61
NM_001194092	SYNDIG1	synapse differentiation inducing 1
