raw_ids	SYMBOL	GENENAME
NM_001289744	Lrrc4c	leucine rich repeat containing 4C
NM_178725	Lrrc4c	leucine rich repeat containing 4C
NM_001363049	Lrrc4c	leucine rich repeat containing 4C
NM_001361018	Slc1a2	solute carrier family 1 (glial high affinity glutamate transporter), member 2
NM_001077514	Slc1a2	solute carrier family 1 (glial high affinity glutamate transporter), member 2
NM_011393	Slc1a2	solute carrier family 1 (glial high affinity glutamate transporter), member 2
NM_001077515	Slc1a2	solute carrier family 1 (glial high affinity glutamate transporter), member 2
NM_028260	Immp1l	IMP1 inner mitochondrial membrane peptidase-like (S. cerevisiae)
NM_001378593	Potefam1	POTE ankyrin domain family member 1
NM_172857	Exd1	exonuclease 3'-5' domain containing 1
NM_001177793	Snap23	synaptosomal-associated protein 23
NM_009222	Snap23	synaptosomal-associated protein 23
NM_001177792	Snap23	synaptosomal-associated protein 23
NM_001360084	Frmd5	FERM domain containing 5
NM_172673	Frmd5	FERM domain containing 5
NM_011774	Slc30a4	solute carrier family 30 (zinc transporter), member 4
NM_001290993	Slc30a4	solute carrier family 30 (zinc transporter), member 4
NM_028765	Acoxl	acyl-Coenzyme A oxidase-like
NM_178404	Zc3h6	zinc finger CCCH type containing 6
NM_009374	Tgm3	transglutaminase 3, E polypeptide
NM_011426	Siglec1	sialic acid binding Ig-like lectin 1, sialoadhesin
NM_018824	Slc23a2	solute carrier family 23 (nucleobase transporters), member 2
NM_001355430	Slc23a2	solute carrier family 23 (nucleobase transporters), member 2
NM_001355431	Slc23a2	solute carrier family 23 (nucleobase transporters), member 2
NM_001145830	Plcb1	phospholipase C, beta 1
NM_019677	Plcb1	phospholipase C, beta 1
NM_001360382	Pak5	p21 (RAC1) activated kinase 5
NM_001360384	Pak5	p21 (RAC1) activated kinase 5
NM_172858	Pak5	p21 (RAC1) activated kinase 5
NM_001013802	Macrod2	mono-ADP ribosylhydrolase 2
NM_008792	Pcsk2	proprotein convertase subtilisin/kexin type 2
NM_025314	Dtd1	D-tyrosyl-tRNA deacylase 1
NM_001085521	Syndig1	synapse differentiation inducing 1
NM_001363095	Syndig1	synapse differentiation inducing 1
NM_001363096	Syndig1	synapse differentiation inducing 1
NM_001363094	Syndig1	synapse differentiation inducing 1
NM_008395	Itch	itchy, E3 ubiquitin protein ligase
NM_001243712	Itch	itchy, E3 ubiquitin protein ligase
NM_172674	Phf20	PHD finger protein 20
NM_019642	Rpn2	ribophorin II
NM_001355163	Rpn2	ribophorin II
NM_001355165	Rpn2	ribophorin II
NM_001355164	Rpn2	ribophorin II
NM_001291150	Ptprt	protein tyrosine phosphatase receptor type T
NM_001291151	Ptprt	protein tyrosine phosphatase receptor type T
NM_001291149	Ptprt	protein tyrosine phosphatase receptor type T
