raw_ids	SYMBOL	GENENAME
NM_001184973	Oscar	osteoclast associated Ig-like receptor
NM_012628	Prkcg	protein kinase C, gamma
NM_183332	Myadm	myeloid-associated differentiation marker
NM_001169142	Nlrp12	NLR family, pyrin domain containing 12
NM_001025639	Slc7a3l1	solute carrier family 7 member 3 like 1
NM_173130	Vom2r27	vomeronasal 2 receptor, 27
NM_001108470	Mzf1	myeloid zinc finger 1
NM_001108471	Ube2m	ubiquitin-conjugating enzyme E2M
NM_001108906	Chmp2a	charged multivesicular body protein 2A
NM_053916	Trim28	tripartite motif-containing 28
NM_001107478	Zbtb45	zinc finger and BTB domain containing 45
NM_024143	Slc27a5	solute carrier family 27 member 5
NM_001109334	Rnf225	ring finger protein 225
NM_001277243	Rps5	ribosomal protein S5
NM_001277244	Rps5	ribosomal protein S5
NM_001024775	Zfp110	zinc finger protein 110
NM_001107477	Zfp329	zinc finger protein 329
NM_173315	Vom2r32	vomeronasal 2 receptor, 32
NM_001106220	Nlrp4a	NLR family, pyrin domain containing 4A
NM_001191620	Zfp418	zinc finger protein 418
NM_001025677	Zfp772	zinc finger protein 772
NM_001106467		
NM_001107472	Zfp954	zinc finger protein 954
NM_001308536	Aurkc	aurora kinase C
NM_001108465	Usp29	ubiquitin specific peptidase 29
NM_001304816	Peg3	paternally expressed 3
NM_001107473	Zim1	zinc finger, imprinted 1
NM_001109138	Smim17	small integral membrane protein 17
NM_001134609	Zfp583	zinc finger protein 583
NM_001008557	Zfp667	zinc finger protein 667
NM_022633	Galp	galanin-like peptide
NM_001169143	Zfp444	zinc finger protein 444
NM_001108904	Zfp787	zinc finger protein 787
NM_001172164	Nlrp4	NLR family, pyrin domain containing 4
NM_001166675	Rasl2-9	RAS-like, family 2, locus 9
NM_001106222	Rfpl4a	ret finger protein-like 4A
NM_057136	Epn1	Epsin 1
NM_001317059	Zfp580	zinc finger protein 580
NM_001134544	Zfp865	zinc finger protein 865
NM_001108905	Zfp524	zinc finger protein 524
NM_001106223	Fiz1	FLT3-interacting zinc finger 1
NM_001126276	Zfp579	zinc finger protein 579
NM_001127539	Sbk2	SH3 domain binding kinase family, member 2
NM_001134545	Ssc5d	scavenger receptor cysteine rich family member with 5 domains
NM_001108466	Nat14	N-acetyltransferase 14
NM_001008367	Isoc2b	isochorismatase domain containing 2b
NM_001145175	Shisa7	shisa family member 7
NM_001106224	Ube2s	ubiquitin-conjugating enzyme E2S
NM_022697	Rpl28	ribosomal protein L28
NM_133519	Il11	interleukin 11
NM_001145401	Garin5b	golgi associated RAB2 interactor family member 5B
NM_001039085	Cox6b2	cytochrome c oxidase subunit 6B2
NM_001107475	Kmt5c	lysine methyltransferase 5C
NM_001107476	Tmem150b	transmembrane protein 150B
NM_001127337	Brsk1	BR serine/threonine kinase 1
NM_139261	Hspbp1	HSPA (Hsp70) binding protein 1
NM_001135849	Ppp6r1	protein phosphatase 6, regulatory subunit 1
NM_001109604	Tmem86b	transmembrane protein 86B
NM_001191945	Ptprh	protein tyrosine phosphatase, receptor type, H
NM_019350	Syt5	synaptotagmin 5
NM_001271115	Dnaaf3	dynein, axonemal, assembly factor 3
NM_017144	Tnni3	troponin I3, cardiac type
NM_001277260	Tnnt1	troponin T1, slow skeletal type
NM_001277261	Tnnt1	troponin T1, slow skeletal type
NM_001277262	Tnnt1	troponin T1, slow skeletal type
NM_134388	Tnnt1	troponin T1, slow skeletal type
NM_001191946	Ppp1r12c	protein phosphatase 1, regulatory subunit 12C
NM_001108467	Eps8l1	EPS8-like 1
NM_001108468	Rdh13	retinol dehydrogenase 13
NM_057199	Ncr1	natural cytotoxicity triggering receptor 1
NM_201992	Fcar	Fc alpha receptor
NM_181479	Kir3dl1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1
NM_001013894	Lilrb4	leukocyte immunoglobulin like receptor B4
NM_001076793	Lilra5	leukocyte immunoglobulin like receptor A5
NM_001108469	Cdc42ep5	CDC42 effector protein 5
NM_001037790	Leng8	leukocyte receptor cluster member 8
NM_001106225	Ttyh1	tweety family member 1
NM_001029928	Lair1	leukocyte-associated immunoglobulin-like receptor 1
NM_173319	Vom2r31	vomeronasal 2 receptor, 31
NM_001024268	Lig1	DNA ligase 1
NM_001108907	Cabp5	calcium binding protein 5
NM_001025131	Sult2a2	sulfotransferase family 2A, dehydroepiandrosterone (DHEA)-preferring, member 2
NM_012695	Sult2a6	sulfotransferase family 2A, dehydroepiandrosterone (DHEA)-preferring, member 6
NM_131903	Sult2a1	sulfotransferase family 2A member 1
NM_013027	Selenow	selenoprotein W
NM_001024897	Ehd2	EH-domain containing 2
NM_001106226	Bicra	BRD4 interacting chromatin remodeling complex associated protein
NM_080585	Napa	NSF attachment protein alpha
NM_001107457	Kptn	kaptin (actin binding protein)
NM_078619	Slc8a2	solute carrier family 8 member A2
NM_001108472	Meis3	Meis homeobox 3
NM_001271452	Dhx34	DExH-box helicase 34
NM_001003710	C5ar2	complement C5a receptor 2
NM_053619	C5ar1	complement C5a receptor 1
NM_001136272	Inafm1	InaF-motif containing 1
NM_173837	Bbc3	Bcl-2 binding component 3
NM_001012063	Sae1	SUMO1 activating enzyme subunit 1
NM_001106227	Tmem160	transmembrane protein 160
NM_001107479	Npas1	neuronal PAS domain protein 1
NM_001271132	Arhgap35	Rho GTPase activating protein 35
NM_053919	Ceacam9	CEA cell adhesion molecule 9
NM_022952	Ap2s1	adaptor related protein complex 2 subunit sigma 1
NM_175758	Slc1a5	solute carrier family 1 member 5
NM_001025678	Fkrp	fukutin related protein
NM_001107480	Strn4	striatin 4
NM_001161809	Strn4	striatin 4
NM_001013895	Prkd2	protein kinase D2
NM_001191947	Dact3	dishevelled-binding antagonist of beta-catenin 3
NM_139185	Gng8	G protein subunit gamma 8
NM_001077644	Ptgir	prostaglandin I2 receptor
NM_012518	Calm3	calmodulin 3
NM_001107481	Pnma8b	PNMA family member 8B
NM_001108473	Pnma8a	PNMA family member 8A
NM_001009533	Ccdc8	coiled-coil domain containing 8
NM_031729	Ppp5c	protein phosphatase 5, catalytic subunit
NM_022528	Hif3a	hypoxia inducible factor 3 subunit alpha
NM_012525	Cgm4	carcinoembryonic antigen gene family 4
NM_001025679	Psg16	pregnancy specific glycoprotein 16
NM_012702	Ceacam3	CEA cell adhesion molecule 3
NM_021677	Psgb1	pregnancy-specific beta 1-glycoprotein
NM_001025641	Psg29	pregnancy-specific beta-1-glycoprotein 29
NM_001025404	Ceacam11	CEA cell adhesion molecule 11
NM_001108474	Ceacam12	CEA cell adhesion molecule 12
NM_001011931	Mill1	MHC I like leukocyte 1
NM_001270654	Psg19	pregnancy specific glycoprotein 19
NM_019126	Psg19	pregnancy specific glycoprotein 19
NM_001017468	Micb	MHC class I polypeptide-related sequence B
NM_053373	Pglyrp1	peptidoglycan recognition protein 1
NM_001106229	Ccdc61	coiled-coil domain containing 61
NM_001108908	Nanos2	nanos C2HC-type zinc finger 2
NM_001109139	Mypop	Myb-related transcription factor, partner of profilin
NM_001107483	Irf2bp1	interferon regulatory factor 2 binding protein 1
NM_017077	Foxa3	forkhead box A3
NM_001100830		
NM_001024748	Rsph6a	radial spoke head 6 homolog A
NM_001025642	Fbxo46	F-box protein 46
NM_001106230	Qpctl	glutaminyl-peptide cyclotransferase-like
NM_001109399	Snrpd2	small nuclear ribonucleoprotein D2 polypeptide
NM_012714	Gipr	gastric inhibitory polypeptide receptor
NM_138921	Eml2	EMAP like 2
NM_001025680	Gpr4	G protein-coupled receptor 4
NM_001107486	Opa3	outer mitochondrial membrane lipid metabolism regulator OPA3
NM_001108475	Vasp	vasodilator-stimulated phosphoprotein
NM_001106231	Ppm1n	protein phosphatase, Mg2+/Mn2+ dependent 1N
NM_201562	Rtn2	reticulon 2
NM_001256509	Fosb	FosB proto-oncogene, AP-1 transcription factor subunit
NM_001106228	Ercc1	ERCC excision repair 1, endonuclease non-catalytic subunit
NM_001109416	Polr1g	RNA polymerase I subunit G
NM_001172809	Ercc2	ERCC excision repair 2, TFIIH core complex helicase subunit
