raw_ids	SYMBOL	GENENAME
NM_001280274	YBX3	Y-box binding protein 3
NM_001246544	BCL2L14	BCL2 like 14
NM_001246548	DDX47	DEAD-box helicase 47
NM_001009134	ART4	ADP-ribosyltransferase 4
NM_001251941	MGST1	microsomal glutathione S-transferase 1
NM_001242595	RERGL	RERG like
NM_001280048	DCTN2	dynactin subunit 2
NM_001246483	PA2G4	proliferation-associated 2G4
NM_001098422	HNRPA1LK1	heterogeneous nuclear ribonucleoprotein A1-like 1
NM_001246431	AAAS	aladin WD repeat nucleoporin
NM_001110818	KRT1	keratin 1
NM_001098569	KRT2	keratin 2
NM_001280067	KRT5	keratin 5
NM_001098570	KRT85	keratin 85
NM_001110814	KRT7	keratin 7
NM_001246410	TMBIM6	transmembrane BAX inhibitor motif containing 6
NM_001098544	TUBA1A	tubulin alpha 1a
NM_001034095	TUBA1B	tubulin, alpha 1b
NM_001246546	CCDC65	coiled-coil domain containing 65
NM_001243955	SLC48A1	solute carrier family 48 member 1
NM_001251988	RASSF8	Ras association domain family member 8
NM_001280379	CMAS	cytidine monophosphate N-acetylneuraminic acid synthetase
NM_001098561	LDHB	lactate dehydrogenase B
NM_001252004	GOLT1B	golgi transport 1B
NM_001098545	RAP1B	RAP1B, member of RAS oncogene family
NM_001246626	CCT2	chaperonin containing TCP1 subunit 2
NM_001009082	DCN	decorin
NM_001280056	METAP2	methionyl aminopeptidase 2
NM_001280082	LTA4H	leukotriene A4 hydrolase
NM_001246423	SLC25A3	solute carrier family 25 member 3
NM_001246563	GARIN6	golgi associated RAB2 interactor family member 6
NM_001302414	LOC104001660	putative golgin subfamily A member 2B
NM_001280133	ACTR6	actin related protein 6
NM_001134768	PMCH	pro-melanin concentrating hormone
NM_001280218	PWP1	PWP1 homolog, endonuclein
NM_001280284	FICD	FIC domain protein adenylyltransferase
NM_001246523	UNG	uracil DNA glycosylase
NM_001271660	UBE3B	ubiquitin protein ligase E3B
NM_001114758	GLTP	glycolipid transfer protein
NM_001302400	LOC101058308	hypothetical protein
NM_001246519	PPTC7	protein phosphatase targeting COQ7
NM_001246552	BRAP	BRCA1 associated protein
NM_001246573	RPL6	ribosomal protein L6
NM_001280118	RITA1	RBPJ interacting and tubulin associated 1
NM_001246601	PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1
NM_001280469	OASL	2'-5'-oligoadenylate synthetase like
NM_001246400	PSMD9	proteasome 26S subunit, non-ATPase 9
NM_001280487	VPS33A	VPS33A core subunit of CORVET and HOPS complexes
NM_001246635	HCAR1	hydroxycarboxylic acid receptor 1
NM_001246447	ZNF10	zinc finger protein 10
NM_001280212	IFT88	intraflagellar transport 88
NM_001280241	WDFY2	WD repeat and FYVE domain containing 2
NM_001246491	UBAC2	UBA domain containing 2
NM_001280238	INTS6	integrator complex subunit 6
NM_001279917	GJB2	gap junction protein beta 2
NM_001034171	CENPJ	centromere protein J
NM_001251996	POMP	proteasome maturation protein
NM_001246437	CCNA1	cyclin A1
NM_001098546	TPT1	tumor protein, translationally-controlled 1
NM_001280498	RUBCNL	rubicon like autophagy enhancer
NM_001098547	ITM2B	integral membrane protein 2B
NM_001246517	TRIM13	tripartite motif containing 13
NM_001280348	FBXL3	F-box and leucine rich repeat protein 3
NM_001280390	IPO5	importin 5
NM_001246366	GPR18	G protein-coupled receptor 18
NM_001246562	LAMP1	lysosomal associated membrane protein 1
NM_001251920	TFDP1	transcription factor Dp-1
NM_001280331	LIN52	lin-52 DREAM MuvB core complex component
NM_001280086	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma
NM_001195153	NDRG2	NDRG family member 2
NM_001246657	PSMA6	proteasome 20S subunit alpha 6
NM_001302412	FNTB	farnesyltransferase, CAAX box, beta
NM_001280148	TTC8	tetratricopeptide repeat domain 8
NM_001246628	TDP1	tyrosyl-DNA phosphodiesterase 1
NM_001280511	DGLUCY	D-glutamate cyclase
NM_001280042	WARS1	tryptophanyl-tRNA synthetase 1
NM_001302404	RNASE11	ribonuclease A family member 11 (inactive)
NM_001009133	RNASE2	ribonuclease A family member 2
NM_001246441	TMEM253	transmembrane protein 253
NM_001246442	HNRNPC	heterogeneous nuclear ribonucleoprotein C
NM_001246555	METTL3	methyltransferase 3, N6-adenosine-methyltransferase complex catalytic subunit
NM_001280364	PRMT5	protein arginine methyltransferase 5
NM_001251894	DHRS4L1	dehydrogenase/reductase 4 like 1
NM_001280430	REC8	REC8 meiotic recombination protein
NM_001280486	TM9SF1	transmembrane 9 superfamily member 1
NM_001246606	TINF2	TERF1 interacting nuclear factor 2
NM_001280228	G2E3	G2/M-phase specific E3 ubiquitin protein ligase
NM_001280526	SRP54	signal recognition particle 54
NM_001246654	PPP2R3C	protein phosphatase 2 regulatory subunit B''gamma
NM_001279776	MGAT2	alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase
NM_001246406	RTRAF	RNA transcription, translation and transport factor
NM_001280242	CDKN3	cyclin dependent kinase inhibitor 3
NM_001280111	DLGAP5	DLG associated protein 5
NM_001280121	FBXO34	F-box protein 34
NM_001279905	TRMT5	tRNA methyltransferase 5
NM_001115134	GPX2	glutathione peroxidase 2
NM_001252011	VTI1B	vesicle transport through interaction with t-SNAREs 1B
NM_001279983		
NM_001246558	ZNF410	zinc finger protein 410
NM_001009075	NPC2	NPC intracellular cholesterol transporter 2
NM_001246584	ZC2HC1C	zinc finger C2HC-type containing 1C
NM_001242588	GPATCH2L	G-patch domain containing 2 like
NM_001279830	SAMD15	sterile alpha motif domain containing 15
NM_001280438	SNW1	SNW domain containing 1
NM_001122637	DIO2	iodothyronine deiodinase 2
NM_001122638	DIO2	iodothyronine deiodinase 2
NM_001098548	SPATA7	spermatogenesis associated 7
NM_001110819	CALM1	calmodulin 1
NM_001076782	NDUFB1	NADH:ubiquinone oxidoreductase subunit B1
NM_001279842	DDX24	DEAD-box helicase 24
NM_001280360	SERPINA5	serpin family A member 5
NM_001280143	LOC101057353	uncharacterized LOC101057353
NM_001242570	GSKIP	GSK3B interacting protein
NM_001098572	HSP90AA1	heat shock protein 90 alpha family class A member 1
NM_001280114	MOK	MOK protein kinase
NM_001246454	BAG5	BAG cochaperone 5
NM_001320163	CDCA4	cell division cycle associated 4
NM_001302420	ENTREP2	endosomal transmembrane epsin interactor 2
NM_001280404	DPH6	diphthamine biosynthesis 6
NM_001280254	CSNK1G1	casein kinase 1 gamma 1
NM_001035523	RHCG	Rh family C glycoprotein
NM_001280298	GOLGA8A	golgi autoantigen, golgin subfamily a, 8A
NM_001251887	KNSTRN	kinetochore localized astrin (SPAG5) binding protein
NM_001243054	TMEM87A	transmembrane protein 87A
NM_001279794	TUBGCP4	tubulin gamma complex component 4
NM_001251925	SERF2	small EDRK-rich factor 2
NM_001251924	SERF2	small EDRK-rich factor 2
NM_001110839	SLC12A1	solute carrier family 12 member 1
NM_001280488	CCPG1	cell cycle progression 1
NM_001009071	MAP2K1	mitogen-activated protein kinase kinase 1
NM_001246364	LRRC49	leucine rich repeat containing 49
NM_001280467	PTPN9	protein tyrosine phosphatase non-receptor type 9
NM_001279956	FAH	fumarylacetoacetate hydrolase
NM_001194930	IL16	interleukin 16
NM_001280039	ABHD2	abhydrolase domain containing 2, acylglycerol lipase
NM_001242425	AP3S2	adaptor related protein complex 3 subunit sigma 2
NM_001256797	SNRPN	small nuclear ribonucleoprotein polypeptide N
NM_001110815	SNURF	SNRPN upstream open reading frame
NM_001098549	SCG5	secretogranin V
NM_001246600	RMDN3	regulator of microtubule dynamics 3
NM_001246452	PDIA3	protein disulfide isomerase family A member 3
NM_001246499	ELL3	elongation factor for RNA polymerase II 3
NM_001246371	MFAP1	microfibril associated protein 1
NM_001280167	TRIM69	tripartite motif containing 69
NM_001244677	C15H15orf48	chromosome 15 C15orf48 homolog
NM_001246498	EID1	EP300 interacting inhibitor of differentiation 1
NM_001246443	LEO1	LEO1 homolog, Paf1/RNA polymerase II complex component
NM_001009083	DNAAF4	dynein axonemal assembly factor 4
NM_001246479	MNS1	meiosis specific nuclear structural 1
NM_001302527	LOC104002326	hypothetical protein
NM_001289918	OAZ2	ornithine decarboxylase antizyme 2
NM_001246577	LARP6	La ribonucleoprotein 6, translational regulator
NM_001252009	CT62	cancer/testis associated 62
NM_001244645	ARIH1	ariadne RBR E3 ubiquitin protein ligase 1
NM_001280187	BBS4	Bardet-Biedl syndrome 4
NM_001302410	ISLR2	immunoglobulin superfamily containing leucine rich repeat 2
NM_001280408	CYP11A1	cytochrome P450, family 11, subfamily A, polypeptide 1
NM_001246509	CLK3	CDC like kinase 3
NM_001098550	MPI	mannose phosphate isomerase
NM_001280229	FAM219B	family with sequence similarity 219 member B
NM_001280236	RCN2	reticulocalbin 2
NM_001322790	RPS17	ribosomal protein S17
NM_001242426	ARPIN	actin related protein 2/3 complex inhibitor
NM_001251937	FAM174B	family with sequence similarity 174 member B
NM_001114756	SELENOS	selenoprotein S
NM_001279995	CENPT	centromere protein T
NM_001246424	BMERB1	bMERB domain containing 1
NM_001271658	WWP2	WW domain containing E3 ubiquitin protein ligase 2
NM_001251899	ZNRF1	zinc and ring finger 1
NM_001280203	LOC741478	uncharacterized LOC741478
NM_001280500	TRAP1	TNF receptor associated protein 1
NM_001246476	IQCK	IQ motif containing K
NM_001105240	NOD2	nucleotide binding oligomerization domain containing 2
NM_001280314	AMFR	autocrine motility factor receptor
NM_001204060	HPR	haptoglobin-related protein
NM_001042626	HBA1	hemoglobin subunit alpha 1
NM_001251932	MCRIP2	MAPK regulated corepressor interacting protein 2
NM_001135658	TPSB2	tryptase beta 2
NM_001114751	MSRB1	methionine sulfoxide reductase B1
NM_001280240	NOXO1	NADPH oxidase organizer 1
NM_001279816	RNPS1	RNA binding protein with serine rich domain 1
NM_001280337	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1
NM_001193632	MTRNR2L4	MT-RNR2 like 4
NM_001280349	ZNF597	zinc finger protein 597
NM_001246640	NAT15	uncharacterized LOC100609520
NM_001280352	CLUAP1	clusterin associated protein 1
